source,target,similarity
8109,511,0.7124
8118,8491,0.6265
8119,12103,0.6455
8123,2441,0.604
8197,36821,0.679
8225,4147,0.6743
8326,11073,0.843
8326,11090,0.6973
8365,3954,0.8237
8365,22186,0.63
8388,19955,0.748
8397,22824,0.7812
8398,11090,0.644
8398,10635,0.605
8413,7660,0.7
8416,14395,0.7896
8427,12521,0.6294
8441,2411,0.6104
8444,4363,0.616
8447,3588,0.6177
8452,7956,0.646
8474,6579,0.74
8491,8118,0.6265
8508,10318,0.6
8512,9583,0.871
8527,662,0.78
8531,232,0.762
8541,26789,0.763
8541,28020,0.7534
8550,953,0.622
8558,5665,0.7017
8592,5014,0.7124
8611,30659,0.638
8626,4376,0.603
8652,3588,0.665
8704,6990,0.641
8822,7660,0.6836
8836,21080,0.6743
8836,26895,0.631
8863,9415,0.8335
9016,22,0.8594
9026,14980,0.691
9026,177,0.624
9026,14979,0.62
9050,2218,0.613
9064,6687,0.7607
9070,9297,0.7344
9077,5216,0.6245
9118,26273,0.689
9122,5601,0.7827
9138,2901,0.6353
9148,1040,0.751
9154,35387,0.72
9160,9392,0.777
9160,7781,0.769
9160,559,0.756
9160,28485,0.6914
9168,35324,0.6055
9189,6429,0.889
9189,28707,0.8564
9203,7960,0.697
9224,4409,0.7183
9241,10573,0.631
9242,7962,0.7153
9270,3076,0.623
9289,23110,0.7314
9290,9678,0.657
9293,3801,0.66
9300,6429,0.7563
9300,9392,0.7183
9304,18620,0.853
9378,6338,0.8286
9378,3949,0.732
9392,28485,0.8916
9392,9189,0.846
9392,28707,0.8433
9394,9378,0.6436
9415,8863,0.8335
9422,1965,0.6865
9422,8854,0.672
9433,14337,0.6167
9448,590,0.756
9461,9289,0.6035
9466,10326,0.7476
9488,27412,0.617
9488,9276,0.6074
9519,5695,0.6987
9557,4227,0.8584
9571,3850,0.6475
9572,8527,0.6978
9583,8512,0.871
9604,9515,0.665
9624,1149,0.6953
9624,5088,0.6885
9653,4822,0.608
9712,9713,0.6895
9713,9712,0.6895
9876,9089,0.621
9903,2692,0.6753
9905,7786,0.826
9920,30593,0.6504
9942,16233,0.607
9946,27295,0.618
9955,9326,0.754
9955,10924,0.7217
9961,6614,0.6396
9961,10067,0.6245
9975,6614,0.728
9991,2462,0.6196
9995,34483,0.6816
9998,2560,0.627
10003,8088,0.666
10013,8527,0.625
10019,6429,0.748
10019,5601,0.7275
10063,1820,0.685
10063,1960,0.653
10066,25264,0.7783
10066,20175,0.762
10071,7330,0.671
10073,6579,0.62
10079,24962,0.6807
10084,10558,0.6865
10085,10817,0.7637
10086,6429,0.7334
10094,31767,0.6016
10116,11797,0.7017
10116,28020,0.697
10122,1960,0.701
10134,7492,0.6934
10136,7660,0.7085
10138,5640,0.655
10138,348,0.6245
10142,1184,0.645
10203,10288,0.869
10205,6412,0.6343
10205,26789,0.6167
10212,6579,0.752
10236,3598,0.785
10256,6622,0.794
10272,34083,0.6265
10275,24075,0.7676
10288,10203,0.869
10303,24546,0.8457
10303,28169,0.6006
10308,10067,0.655
10315,31642,0.6094
10318,8508,0.6
10326,9466,0.7476
10338,28138,0.614
10341,6587,0.6904
10341,17312,0.6543
10341,2735,0.648
10341,1660,0.648
10342,21811,0.717
10392,92,0.7314
10395,7212,0.6255
10427,458,0.6396
10502,7348,0.6895
10529,7660,0.9155
10557,32583,0.729
10564,5275,0.63
10570,32309,0.613
10573,9241,0.631
10629,7781,0.7896
10640,9975,0.6357
10693,2591,0.675
10698,11797,0.603
10750,21820,0.6714
10764,1960,0.713
10813,26032,0.8535
10817,10085,0.7637
10829,24062,0.6567
10842,935,0.704
10883,5715,0.6304
10905,6485,0.622
10914,4961,0.604
10924,9392,0.748
10924,9326,0.747
10957,10973,0.792
10967,2224,0.611
10967,7660,0.6074
10973,10957,0.792
10975,37688,0.7627
10981,6221,0.6284
11006,7845,0.6196
11006,28485,0.6016
11006,3185,0.6016
11016,5636,0.7373
11023,26273,0.63
11027,1167,0.7075
11073,8326,0.843
11090,8326,0.6973
11096,11182,0.607
11098,22546,0.6562
11098,19129,0.627
11098,14293,0.6133
11098,18634,0.6
11099,30056,0.9756
11182,11096,0.607
11192,15421,0.646
11192,36920,0.6177
11192,26064,0.6104
11192,31700,0.6094
11192,32863,0.6035
11220,15885,0.6816
11220,35087,0.6714
11235,29635,0.747
11235,28657,0.707
11235,11252,0.696
11235,22542,0.6797
11235,15463,0.6665
11235,33138,0.655
11235,31394,0.646
11235,32772,0.644
11235,31770,0.64
11236,17522,0.6504
11236,29677,0.636
11236,18634,0.635
11236,12821,0.6104
11237,31395,0.7266
11237,29634,0.697
11237,18636,0.643
11237,29980,0.6323
11237,18652,0.623
11237,32071,0.6074
11238,21044,0.7095
11238,1149,0.635
11252,22542,0.698
11252,11235,0.696
11252,18650,0.6826
11252,28657,0.652
11252,11256,0.6504
11252,22544,0.646
11252,15463,0.6455
11252,33059,0.6353
11252,31770,0.625
11255,11252,0.616
11255,33059,0.612
11256,18650,0.714
11256,22546,0.6636
11256,18652,0.6606
11256,33572,0.66
11256,11252,0.6504
11256,30269,0.6494
11256,11257,0.649
11256,28657,0.6475
11256,18636,0.6465
11257,11256,0.649
11285,29963,0.6255
11285,26165,0.603
11292,33169,0.681
11299,11300,0.604
11300,11299,0.604
11316,11317,0.6323
11317,22140,0.6562
11317,11316,0.6323
11317,13250,0.6294
11346,32137,0.6406
11352,11421,0.6313
11354,30168,0.6113
11354,34241,0.611
11354,30169,0.604
11361,11368,0.607
11368,11370,0.613
11368,11361,0.607
11370,28161,0.656
11370,30168,0.6523
11370,29779,0.6494
11370,14431,0.639
11370,31770,0.6245
11378,20468,0.643
11378,23454,0.64
11380,23630,0.7
11380,23629,0.6997
11380,14639,0.6846
11380,17959,0.6445
11380,29940,0.6343
11380,23512,0.6284
11380,33584,0.6274
11380,14640,0.6206
11380,27957,0.608
11407,27326,0.6
11421,11352,0.6313
11426,3435,0.613
11440,882,0.637
11445,18967,0.6504
11445,17566,0.6147
11445,17471,0.608
11445,37678,0.607
11461,27539,0.736
11463,35225,0.6143
11466,30953,0.6284
11470,27510,0.622
11470,18650,0.6123
11470,13293,0.608
11496,14005,0.6367
11513,36741,0.784
11544,19943,0.648
11622,29606,0.618
11630,12492,0.669
11640,11642,0.6084
11640,11643,0.606
11642,11643,0.774
11642,17448,0.6543
11642,17576,0.646
11642,29785,0.6167
11642,11640,0.6084
11642,11380,0.602
11642,35573,0.601
11643,11642,0.774
11643,17576,0.66
11643,25014,0.624
11643,37846,0.614
11643,30432,0.612
11643,34354,0.6074
11643,11640,0.606
11643,29785,0.606
11649,14040,0.933
11649,14941,0.636
11670,37511,0.6
11680,13748,0.9443
11680,27415,0.6055
11725,25676,0.7153
11725,35215,0.689
11725,12286,0.6875
11725,11726,0.669
11725,27743,0.667
11725,19663,0.644
11725,33571,0.6406
11725,30168,0.6353
11726,30168,0.677
11726,11725,0.669
11726,35216,0.6543
11726,27743,0.6426
11726,25677,0.624
11726,26139,0.6
11728,33456,0.6797
11782,31701,0.7637
11782,32421,0.684
11782,12564,0.601
11791,19002,0.609
11796,29955,0.7026
11797,28020,0.769
11823,14113,0.8
11837,29605,0.6157
11856,12207,0.633
11905,22113,0.674
11905,11906,0.61
11906,22113,0.701
11906,24223,0.6416
11906,22652,0.629
11906,24536,0.628
11906,11905,0.61
11948,23703,0.669
11948,7772,0.6235
11949,37190,0.697
11961,30532,0.693
11965,34039,0.7065
11965,34354,0.681
11965,29779,0.6753
11965,25282,0.6533
