source,target,similarity
4401,1867,0.6997
4405,5869,0.602
4406,116,0.8047
4406,10604,0.745
4453,4204,0.739
4492,5418,0.8794
4493,7653,0.921
4500,1316,0.6104
4555,1887,0.778
4559,4032,0.6655
4598,162,0.6665
4650,2462,0.916
4653,9760,0.703
4703,7778,0.7656
4703,4732,0.7363
4720,3041,0.6167
4726,211,0.7266
4732,4703,0.7363
4732,2467,0.7217
4734,204,0.61
4739,4204,0.756
4747,8393,0.6562
4848,5237,0.6167
4849,4858,0.616
4858,4849,0.616
4904,8376,0.6143
4962,11031,0.6133
5003,2017,0.762
5011,3851,0.667
5011,8603,0.6177
5053,465,0.7114
5080,438,0.758
5082,967,0.717
5083,583,0.708
5151,1876,0.821
5151,723,0.806
5188,707,0.631
5208,2490,0.6353
5208,7349,0.611
5219,2723,0.633
5234,9449,0.7217
5234,9968,0.6226
5237,5291,0.6704
5237,4848,0.6167
5291,5237,0.6704
5291,9967,0.6206
5314,10221,0.681
5384,7980,0.689
5415,197,0.665
5418,4492,0.8794
5420,10122,0.725
5420,31,0.691
5429,211,0.698
5434,3007,0.8867
5513,1785,0.6816
5533,8513,0.8784
5546,2942,0.608
5551,1884,0.643
5599,6843,0.684
5619,7215,0.647
5633,827,0.6274
5651,2492,0.6045
5655,1129,0.6123
5659,4311,0.637
5665,707,0.816
5665,4204,0.814
5712,6038,0.6055
5718,892,0.862
5726,481,0.631
5741,11139,0.9395
5760,2862,0.608
5805,10604,0.617
5805,1782,0.604
5835,1887,0.6934
5835,9881,0.672
5839,1887,0.7363
5853,8163,0.6665
5869,4405,0.602
5886,539,0.687
5903,9644,0.8145
5919,808,0.6274
5937,4032,0.7217
5937,334,0.681
5941,1882,0.63
5950,6082,0.6504
5987,11523,0.7373
6002,46,0.666
6013,801,0.6353
6032,4160,0.6104
6033,1172,0.614
6038,5712,0.6055
6043,1887,0.6455
6057,7698,0.619
6058,1066,0.618
6062,7028,0.8384
6072,956,0.617
6078,7063,0.6855
6080,1193,0.607
6082,5950,0.6504
6125,2015,0.6147
6135,1901,0.841
6136,2865,0.6147
6148,6962,0.656
6198,1410,0.6416
6198,967,0.6265
6208,1307,0.6196
6240,6241,0.6006
6241,6240,0.6006
6264,11438,0.602
6307,4732,0.619
6317,465,0.6025
6333,7126,0.665
6365,11120,0.612
6393,7682,0.7134
6393,2006,0.702
6393,4032,0.6816
6393,967,0.6733
6437,2199,0.654
6456,8067,0.6323
6498,31,0.7476
6514,2565,0.707
6592,2467,0.6445
6596,10604,0.6836
6596,1882,0.6753
6653,2006,0.6094
6657,9201,0.6206
6659,83,0.74
6662,1887,0.6294
6681,723,0.6875
6688,3310,0.6255
6744,411,0.6353
6766,264,0.751
6766,583,0.743
6788,9372,0.745
6810,10808,0.6
6826,7081,0.7524
6828,9656,0.7144
6828,10038,0.6025
6843,8367,0.749
6871,7076,0.743
6871,4276,0.7266
6887,11016,0.605
6902,7506,0.615
6917,1570,0.8257
6924,8459,0.602
6971,967,0.759
6998,100,0.6274
7028,6062,0.8384
7041,2467,0.7627
7047,10757,0.7056
7047,9908,0.6724
7049,3470,0.7036
7063,6078,0.6855
7067,10834,0.6714
7076,6871,0.743
7083,1611,0.73
7094,8300,0.6772
7105,10686,0.8843
7118,10604,0.777
7126,6333,0.665
7139,124,0.661
7153,7683,0.6353
7153,4238,0.6055
7170,4115,0.689
7172,1887,0.7036
7172,239,0.692
7191,1054,0.755
7264,10072,0.6987
7277,2017,0.665
7277,5970,0.6523
7324,11258,0.7007
7336,1887,0.626
7336,6662,0.6196
7336,239,0.61
7349,2490,0.6714
7349,10706,0.641
7349,5208,0.611
7349,2326,0.6045
7350,8821,0.672
7355,46,0.783
7358,10604,0.7354
7385,11523,0.713
7423,504,0.605
7426,358,0.6265
7433,1887,0.729
7440,557,0.6157
7460,7930,0.73
7525,8518,0.7686
7539,3216,0.86
7539,1081,0.613
7586,7605,0.7793
7605,7586,0.7793
7605,7613,0.6904
7613,7605,0.6904
7617,1195,0.8457
7646,1887,0.6377
7653,4493,0.921
7653,7041,0.6997
7661,7107,0.6055
7682,6393,0.7134
7690,1302,0.7764
7698,6057,0.619
7719,7733,0.626
7722,31,0.6636
7727,8569,0.614
7733,7719,0.626
7746,7750,0.7134
7747,7750,0.629
7750,7746,0.7134
7750,4276,0.7007
7750,3938,0.6904
7750,7747,0.629
7774,1593,0.735
7775,2117,0.663
7778,4703,0.7656
7784,539,0.631
7794,10604,0.81
7794,2017,0.809
7800,514,0.61
7812,9878,0.6675
7812,583,0.6553
7836,1887,0.612
7844,4033,0.628
7862,7041,0.6494
7884,8206,0.8857
7884,3294,0.615
7884,8133,0.6025
7893,2062,0.672
7930,7460,0.73
7935,1065,0.6274
7971,11031,0.6875
8003,2896,0.63
8043,8613,0.607
8067,6456,0.6323
8069,264,0.631
